Rank,ReleaseDate,Name,Budget,Domestic,Worldwide,Year
1,2009-12-18,Avatar,425000000.0,760507625,2783918982,2009
2,2007-05-24,Pirates of the Caribbean: At World's End,300000000.0,309420425,960996492,2007
3,2012-07-20,The Dark Knight Rises,275000000.0,448139099,1079343943,2012
4,2013-07-02,The Lone Ranger,275000000.0,89289910,259989910,2013
5,2012-03-09,John Carter,275000000.0,73058679,282778100,2012
6,2010-11-24,Tangled,260000000.0,200821936,586581936,2010
7,2007-05-04,Spider-Man 3,258000000.0,336530303,890875303,2007
8,2012-12-14,The Hobbit: An Unexpected Journey,250000000.0,303003568,1014703568,2012
9,2009-07-15,Harry Potter and the Half-Blood Prince,250000000.0,301959197,934416487,2009
10,2013-12-13,The Hobbit: The Desolation of Smaug,250000000.0,258366855,950466855,2013
11,2011-05-20,Pirates of the Caribbean: On Stranger Tides,250000000.0,241063875,1043663875,2011
12,2014-12-17,The Hobbit: The Battle of the Five Armies,250000000.0,0,0,2014
13,2006-06-28,Superman Returns,232000000.0,200120000,390874000,2006
14,2008-11-14,Quantum of Solace,230000000.0,169368427,591692078,2008
15,2012-05-04,The Avengers,225000000.0,623279547,1514279547,2012
16,2006-07-07,Pirates of the Caribbean: Dead Man's Chest,225000000.0,423315812,1060615812,2006
17,2013-06-14,Man of Steel,225000000.0,291045518,667999518,2013
18,2008-05-16,The Chronicles of Narnia: Prince Caspian,225000000.0,141621490,419490286,2008
19,2012-07-03,The Amazing Spider-Man,220000000.0,262030663,757890267,2012
20,2012-05-25,Men in Black 3,215000000.0,179020854,624821154,2012
21,2009-06-24,Transformers: Revenge of the Fallen,210000000.0,402111870,836519699,2009
22,2014-06-27,Transformers: Age of Extinction,210000000.0,245439076,1081139076,2014
23,2006-05-26,X-Men: The Last Stand,210000000.0,234362462,459359555,2006
24,2010-05-14,Robin Hood,210000000.0,105487148,322459006,2010
25,2012-05-18,Battleship,209000000.0,65235400,304150372,2012
26,2005-12-14,King Kong,207000000.0,218080025,550517357,2005
27,2007-12-01,The Golden Compass,205000000.0,70107728,372234864,2007
28,1997-12-17,Titanic,200000000.0,658672302,2207615668,1997
29,2010-06-18,Toy Story 3,200000000.0,415004880,1063759456,2010
30,2013-05-03,Iron Man 3,200000000.0,408992272,1212692272,2013
31,2004-06-30,Spider-Man 2,200000000.0,373524485,783705001,2004
32,2010-03-05,Alice in Wonderland,200000000.0,334191110,1024391110,2010
33,2012-11-08,Skyfall,200000000.0,304360277,1108694081,2012
34,2013-06-21,Monsters University,200000000.0,268488329,743588329,2013
35,2013-03-08,Oz the Great and Powerful,200000000.0,234770996,489570996,2013
36,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534,744321534,2014
37,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933,708996336,2014
38,2011-06-24,Cars 2,200000000.0,191450875,560155383,2011
39,2010-12-17,Tron: Legacy,200000000.0,172062763,397562763,2010
40,2009-11-13,2012,200000000.0,166112167,788408539,2009
41,2009-05-21,Terminator Salvation: The Future Begins,200000000.0,125322469,371628539,2009
42,2011-06-17,Green Lantern,200000000.0,116601172,231201172,2011
43,2010-05-28,Prince of Persia: Sands of Time,200000000.0,90759676,335059676,2010
44,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543,1123794076,2011
45,2013-03-01,Jack the Giant Slayer,195000000.0,65187603,197387603,2013
46,2013-05-15,Star Trek Into Darkness,190000000.0,228778661,466978661,2013
47,2013-06-21,World War Z,190000000.0,202359711,539559711,2013
48,2013-05-10,The Great Gatsby,190000000.0,144840419,351040419,2013
49,2009-11-06,Disney's A Christmas Carol,190000000.0,137855863,323743744,2009
50,2013-07-12,Pacific Rim,190000000.0,101802906,411002906,2013
51,2006-11-04,A Christmas Carol,190000000.0,0,177853834,2006
52,2008-05-02,Iron Man,186000000.0,318604126,582443126,2008
53,2008-07-18,The Dark Knight,185000000.0,533345358,1002891358,2008
54,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,317023851,786558145,2008
55,2012-06-22,Brave,185000000.0,237282182,554606532,2012
56,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,291710957,748806957,2005
57,2014-05-30,Maleficent,180000000.0,241286891,751286891,2014
58,2008-06-27,WALL-E,180000000.0,223808164,532590994,2008
59,2007-08-10,Rush Hour 3,180000000.0,140125968,253025968,2007
60,2011-11-23,Hugo,180000000.0,73864507,185033215,2011
61,2014-06-06,Edge of Tomorrow,178000000.0,100206256,364406256,2014
62,2009-05-29,Up,175000000.0,293004164,731542621,2009
63,2009-03-27,Monsters vs. Aliens,175000000.0,198351526,381687380,2009
64,2009-08-07,G.I. Joe: The Rise of Cobra,175000000.0,150201498,302469017,2009
65,1999-06-30,Wild Wild West,175000000.0,113805681,221229335,1999
66,2008-08-01,The Mummy: Tomb of the Dragon Emperor,175000000.0,102491776,405760225,2008
67,2007-06-22,Evan Almighty,175000000.0,100289690,173219280,2007
68,1995-07-28,Waterworld,175000000.0,88246220,264246220,1995
69,2013-12-25,47 Ronin,175000000.0,38362475,151547799,2013
70,2012-12-31,Singularity,175000000.0,0,0,2012
71,2014-08-01,Guardians of the Galaxy,170000000.0,329805224,767805224,2014
72,2010-05-07,Iron Man 2,170000000.0,312433331,623561331,2010
73,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958,713846958,2014
74,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208490841,703490841,2014
75,2013-11-08,Thor: The Dark World,170000000.0,206360018,633360018,2013
76,2004-11-10,The Polar Express,170000000.0,194949659,319049659,2004
77,2012-06-01,Snow White and the Huntsman,170000000.0,155136755,400942064,2012
78,2003-07-01,Terminator 3: Rise of the Machines,170000000.0,150358296,433058296,2003
79,2004-05-07,Van Helsing,170000000.0,120150546,300150546,2004
80,2010-05-21,Shrek Forever After,165000000.0,238736787,756244673,2010
81,2010-03-26,How to Train Your Dragon,165000000.0,217581231,494870991,2010
82,2012-11-02,Wreck-It Ralph,165000000.0,189412677,473412677,2012
83,2014-10-25,Big Hero 6,165000000.0,75643891,98643891,2014
84,2014-11-05,Interstellar,165000000.0,68619855,189719855,2014
85,2011-07-29,Cowboys and Aliens,163000000.0,100240551,175910315,2011
86,2007-05-17,Shrek the Third,160000000.0,322719944,807330936,2007
87,2010-07-16,Inception,160000000.0,292576195,832584416,2010
88,2013-05-24,Fast and Furious 6,160000000.0,238679850,789952811,2013
89,2014-05-16,Godzilla,160000000.0,200672193,508172193,2014
90,2011-06-03,X-Men: First Class,160000000.0,146408305,355408305,2011
91,2008-12-25,The Curious Case of Benjamin Button,160000000.0,127509326,329809326,2008
92,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991,215150991,2010
93,2006-05-12,Poseidon,160000000.0,60674817,181674817,2006
94,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950,418186950,2010
95,2004-11-24,Alexander,155000000.0,34297191,167297191,2004
96,2001-05-25,Pearl Harbor,151500000.0,198539855,449239855,2001
97,2007-07-02,Transformers,151000000.0,319246193,708272592,2007
98,2013-11-22,Frozen,150000000.0,400737000,1267837000,2013
99,2007-07-11,Harry Potter and the Order of the Phoenix,150000000.0,292004738,942943935,2007
100,2005-11-18,Harry Potter and the Goblet of Fire,150000000.0,290013036,896911078,2005
101,2007-12-14,I am Legend,150000000.0,256393010,585410052,2007
102,2008-07-01,Hancock,150000000.0,227946274,624346274,2008
103,2005-07-15,Charlie and the Chocolate Factory,150000000.0,206459076,474459076,2005
104,2007-06-29,Ratatouille,150000000.0,206445654,626549695,2007
105,2005-06-15,Batman Begins,150000000.0,205343774,373298774,2005
106,2011-05-06,Thor,150000000.0,181030624,449326618,2011
107,2008-11-07,Madagascar: Escape 2 Africa,150000000.0,180010950,599516844,2008
108,2009-05-01,X-Men Origins: Wolverine,150000000.0,179883157,374825760,2009
109,2009-05-22,Night at the Museum: Battle of the Smithsonian,150000000.0,177243721,413054631,2009
110,2011-05-26,Kung Fu Panda 2,150000000.0,165249063,664837547,2011
111,2006-05-05,Mission: Impossible III,150000000.0,133501348,397501348,2006
112,2009-05-15,Angels & Demons,150000000.0,133375846,490875846,2009
113,2004-05-14,Troy,150000000.0,133298577,484161265,2004
114,2010-07-01,The Last Airbender,150000000.0,131772187,319713881,2010
115,2007-11-02,Bee Movie,150000000.0,126631277,287594577,2007
116,2009-07-24,G-Force,150000000.0,119436770,287389685,2009
117,2008-11-21,Bolt,150000000.0,114053759,313953759,2008
118,2012-03-30,Wrath of the Titans,150000000.0,83670083,301970083,2012
119,2007-11-16,Beowulf,150000000.0,82195215,194995215,2007
120,2012-05-11,Dark Shadows,150000000.0,79727149,236527149,2012
121,2013-06-28,White House Down,150000000.0,73103784,205440387,2013
122,2010-02-12,The Wolfman,150000000.0,62189884,142634358,2010
